Concert ID,Date,Venue,City,State,Artists,Has Setlist
134,2001-06-23,Madison Square Garden,New York,NY,Eric Clapton (headliner),True
135,2001-07-01,PNC Bank Arts Center,Holmdel,NJ,Tom Petty & the Heartbreakers & Jackson Browne (headliner),False
136,2001-07-05,Jones Beach Theater,Wantagh,NY,Tom Petty & the Heartbreakers & Jackson Browne (headliner),False
137,2001-07-20,PNC Bank Arts Center,Holmdel,NJ,"Paul Simon (festival_performer), Brian Wilson (festival_performer)",True
138,2001-07-21,PNC Bank Arts Center,Holmdel,NJ,Stevie Nicks (headliner),True
139,2001-07-22,Hilton Atlantic City,Atlantic City,NJ,Kenny Loggins (headliner),False
14,1996-02-16,Nassau Coliseum,Uniondale,NY,"Red Hot Chile Peppers (headliner), Silverchair (opener)",False
140,2001-07-28,Giants Stadium,East Rutherford,NJ,"Bon Jovi (headliner), Eve6 and Sugar Ray (opener)",True
141,2001-08-21,Jones Beach Theater,Wantagh,NY,"Allman Brothers Band (headliner), Susan Tedeschi (opener)",True
142,2001-09-08,Jones Beach Theater,Wantagh,NY,"John Mellencamp (festival_performer), The Wallflowers (festival_performer)",True
143,2001-10-01,Nassau Coliseum,Uniondale,NY,"Joan Jett (festival_performer), the Blackhawks (festival_performer)",False
144,2001-10-19,Count Basie Center for the Arts,Red Bank,NJ,"Alliance for Neighbors concert (Bruce Springsteen (festival_performer), Bon Jovi (festival_performer), Joan Jett (festival_performer), John Eddie (festival_performer), Joe Ely (festival_performer), Sonny Burgess (festival_performer), Highway 9 (festival_performer), Felix Cavaliere (festival_performer), Aztec Two Step (festival_performer), Phoebe Snow (festival_performer), DJ Fontana (festival_performer), Scotty Moore) (festival_performer)",False
145,2001-10-20,Madison Square Garden,New York,NY,"Concert for New York (David Bowie (festival_performer), Bon Jovi (festival_performer), Goo Goo Dolls (festival_performer), Eric Clapton (festival_performer), Destiny's Child (festival_performer), Backstreet Boys (festival_performer), Elton John (festival_performer), Billy Joel (festival_performer), James Taylor (festival_performer), Paul McCartney (festival_performer), Melissa Etheridge (festival_performer), The Who (festival_performer), Mick Jagger/Keith Richards (festival_performer), John Mellencamp) (festival_performer)",True
146,2001-10-26,XL Center,Hartford,CT,"Stone Temple Pilots (headliner), Staind, Linkin Park, Deadsy, Static X (opener)",True
