Concert ID,Date,Venue,City,State,Festival Name,Headliners,Openers,Other Artists,Total Artists,Has Setlist
1183,2024-07-26,Great South Bay Music Festival,Oakdale,NY,,NeedtoBreathe,,,1,True
1184,2024-08-05,Citi Field,Queens,NY,Multi-Artist Show,,,Green Day; Smashing Pumpkins,2,True
1185,2024-08-07,Madison Square Garden,New York,NY,Multi-Artist Show,,,The Doobie Brothers; Steve Winwood,2,True
1186,2024-08-17,MetLife Stadium,East Rutherford,NJ,Multi-Artist Show,,,Kenny Chesney; Zac Brown,2,True
1187,2024-08-18,Arthur Ashe Stadium,Queens,NY,,Dierks Bentley,Chase Rice,,2,True
1188,2024-08-21,Citizens Bank Park,Philadelphia,PA,,Bruce Springsteen & the E Street Band,,,1,False
1189,2024-08-23,Citizens Bank Park,Philadelphia,PA,,Bruce Springsteen & the E Street Band,,,1,True
119,2000-10-01,Nassau Coliseum,Uniondale,NY,Multi-Artist Show,,,Tina Turner; Joe Cocker,2,True
1190,2024-08-24,Capitol Theatre,Port Chester,NY,,Joe Bonamassa,,,1,True
1191,2024-08-28,Daryl's House,Pawling,NY,,Walter Trout,,,1,False
1192,2024-09-03,Madison Square Garden,New York,NY,,Pearl Jam,,,1,True
1193,2024-09-04,Madison Square Garden,New York,NY,,Pearl Jam,,,1,True
1194,2024-09-12,CFG Bank Arena,Baltimore,MD,,Pearl Jam,,,1,True
1195,2024-09-13,Oriole Park at Camden Yards,Baltimore,MD,,Bruce Springsteen,,,1,True
1196,2024-09-14,Asbury Park Beach,Asbury Park,NJ,Multi-Artist Show,,,SEA HEAR NOW: Noah Kahan; Black Crowes; Guster; Revivalists; Randolph,5,True
1197,2024-09-15,Asbury Park Beach,Asbury Park,NJ,Multi-Artist Show,,,SEA HEAR NOW: Bruce Springsteen; Trey Anastaio; Kool & Gang,3,True
1198,2024-09-16,Madison Square Garden,New York,NY,,ELO,,,1,True
1199,2024-09-21,Saratoga Performing Arts Center,Saratoga Springs,NY,Multi-Artist Show,,,Farm Aid: Nelson; Young; Dave & Tim; Rateliffe; Mellencamp,5,True
12,1995-10-14,Madison Square Garden,New York,NY,,Elton John,,,1,True
120,2000-10-03,Madison Square Garden,New York,NY,Multi-Artist Show,,,The Who; The Wallflowers,2,True
1200,2024-09-27,Madison Square Garden,New York,NY,,Jelly Roll,,,1,True
1201,2024-09-30,Capitol Theatre,Port Chester,NY,,The Doobie Brothers,,,1,True
1202,2024-10-05,Hartford HealthCare Amphitheater,Bridgeport,CT,,Kings of Leon,,,1,True
1203,2024-10-08,Capitol Theatre,Port Chester,NY,,Tedeschi Trucks Band,,,1,True
1204,2024-10-13,Capitol Theatre,Port Chester,NY,,Sting,,,1,True
1205,2024-10-16,Tarrytown Music Hall,Tarrytown,NY,,Richard Thompson (Band),,,1,False
1206,2024-10-17,Tarrytown Music Hall,Tarrytown,NY,,The Lone Bellow,,,1,False
1207,2024-10-19,Forest Hills Stadium,Forest Hills,NY,,Sturgill Simpson,,,1,True
1208,2024-10-23,Le Poisson Rouge,New York,NY,,Will Hoge,,,1,False
1209,2024-10-24,Wonder Bar,Asbury Park,NJ,,Will Hoge,,,1,False
121,2000-10-19,Great South Bay Music Festival,Oakdale,NY,,Alice Cooper,,,1,True
1210,2024-10-26,Garcia's at The Capitol Theatre,Port Chester,NY,,Stella Blue's Band (acoustic),,,1,True
1211,2024-10-30,Today Show Plaza at Rockefeller Center,New York,NY,,Keith Urban,,,1,False
1212,2024-11-04,Madison Square Garden,New York,NY,,David Gilmour,,,1,True
1213,2024-11-05,Madison Square Garden,New York,NY,,David Gilmour,,,1,True
1214,2024-11-08,Capitol Theatre,Port Chester,NY,,The Last Waltz,,,1,True
1215,2024-11-11,Lincoln Center,New York,NY,,"Stand Up for Heroes:  Bruce Springsteen, Norah Jones",,,1,True
1216,2024-11-12,Capitol Theatre,Port Chester,NY,,The Wallflowers,,,1,True
1217,2024-11-16,Play Group Theatre,White Plains,NY,Candlelight Concerts,,,Beatles Tribute,1,False
1218,2024-11-18,Sony Hall,New York,NY,,Mac McAnally,,,1,True
1219,2024-11-22,Madison Square Garden,New York,NY,,Dave Matthews Band,,,1,True
122,2001-02-15,Madison Square Garden,New York,NY,Multi-Artist Show,,,Barenaked Ladies; Guster,2,True
1220,2024-11-24,Madison Square Garden,New York,NY,SOULSHINE,Dave Matthews Band,,,1,True
1221,2024-11-26,Kings Theatre,Brooklyn,NY,,Empire of the Sun,,,1,True
1222,2024-11-27,Tarrytown Music Hall,Tarrytown,NY,Multi-Artist Show,,,Soulshine; Stella Blues Band tributes to Allman; The Dead,3,False
1223,2024-11-29,Madison Square Garden,New York,NY,,Creed,,,1,True
1224,2024-12-01,Beacon Theatre,New York,NY,,Jesse Malin Benefit,,,1,True
1225,2024-12-12,Webster Hall,New York,NY,,Kip Moore,,,1,True
1226,2024-12-19,Barclays Center,Brooklyn,NY,,Zach Bryan,,,1,True
1227,2024-12-22,Capitol Theatre,Port Chester,NY,,Black Crowes,,,1,True
1228,2024-12-28,Madison Square Garden,New York,NY,,Phish,,,1,True
1229,2024-12-30,Beacon Theatre,New York,NY,,Govt Mule,,,1,True
123,2001-03-22,Beacon Theatre,New York,NY,,Allman Brothers Band,,,1,True
1230,2024-12-31,UBS Arena,Elmont,NY,,Billy Joel,,,1,True
1231,2025-01-16,Blue Note Jazz Club,New York,NY,,"Marcus King Trio (MonoNeon, Chris Dave)",,,1,False
1232,2025-01-17,Capitol Theatre,Port Chester,NY,,Joe Russo's Almost Dead,,,1,False
1233,2025-01-18,Count Basie Center for the Arts,Red Bank,NJ,,Bruce Springsteen:  Light of Day,,,1,True
1234,2025-02-10,Bardavon Opera House,Poughkeepsie,NY,,Billy Gibbons,,,1,True
1235,2025-02-11,Kings Theatre,Brooklyn,NY,,Jack White,,,1,True
1236,2025-02-14,Radio City Music Hall,New York,NY,,SNL Concert,,,1,False
1237,2025-02-20,Capitol Theatre,Port Chester,NY,,Jason Isbell,,,1,True
1238,2025-02-22,Mohegan Sun Arena,Uncasville,CT,,Billy Joel,,,1,True
1239,2025-02-27,Beacon Theatre,New York,NY,,Joe Bonamassa,,,1,True
124,2001-05-08,Madison Square Garden,New York,NY,,ACDC,Buckcherry,,2,True
