Concert ID,Date,Venue,City,State,Festival Name,Artist Name,Artist ID,Artist Role,Artist Position,Has Setlist
233,2005-07-16,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,John Fogerty,293,festival_performer,2,True
234,2005-07-20,Total Mortgage Arena,Bridgeport,CT,,Bruce Springsteen,88,headliner,1,True
235,2005-07-30,Randall's Island Park,New York,NY,Multi-Artist Show,Dave Matthews Band,155,festival_performer,1,True
235,2005-07-30,Randall's Island Park,New York,NY,Multi-Artist Show,Barenaked Ladies,35,festival_performer,2,True
236,2005-08-02,Beacon Theatre,New York,NY,Multi-Artist Show,"Crosby, Stills",143,festival_performer,1,True
236,2005-08-02,Beacon Theatre,New York,NY,Multi-Artist Show,Nash,394,festival_performer,2,True
237,2005-08-18,BB King Blues Club,New York,NY,Multi-Artist Show,Dickey Betts,169,festival_performer,1,False
237,2005-08-18,BB King Blues Club,New York,NY,Multi-Artist Show,Great Southern,235,festival_performer,2,False
238,2005-09-15,Giants Stadium,East Rutherford,NJ,,The Rolling Stones,585,headliner,1,True
238,2005-09-15,Giants Stadium,East Rutherford,NJ,,Alanis Morrisette,12,opener,2,True
239,2005-09-30,Madison Square Garden,New York,NY,,Paul McCartney,417,headliner,1,True
24,1996-07-20,Madison Square Garden,New York,NY,,The Who,587,headliner,1,True
24,1996-07-20,Madison Square Garden,New York,NY,,Me'shell N'dge'Ocello,376,opener,2,True
240,2005-10-01,Madison Square Garden,New York,NY,,Paul McCartney,417,headliner,1,True
241,2005-10-09,Nassau Coliseum,Uniondale,NY,,Bruce Springsteen,88,headliner,1,True
242,2005-10-16,Continental Airlines Arena,East Rutherford,NJ,,Queen + Paul Rodgers,441,headliner,1,True
243,2005-10-25,Madison Square Garden,New York,NY,,Cream,139,headliner,1,True
244,2005-11-17,Continental Airlines Arena,East Rutherford,NJ,,Bruce Springsteen,88,headliner,1,True
245,2005-11-21,Madison Square Garden,New York,NY,,U2,618,headliner,1,True
245,2005-11-21,Madison Square Garden,New York,NY,,Patti Smith,415,opener,2,True
246,2005-11-25,Towne Crier,Beacon,NY,,Richie Havens,457,headliner,1,False
247,2005-12-09,Madison Square Garden,New York,NY,,Dave Matthews Band,155,headliner,1,True
248,2005-11-29,92nd Street Y,New York,NY,,Billy Joel,48,headliner,1,False
249,2005-11-22,Continental Airlines Arena,East Rutherford,NJ,,Bon Jovi,71,headliner,1,False
25,1996-07-25,Madison Square Garden,New York,NY,,KISS,310,headliner,1,False
25,1996-07-25,Madison Square Garden,New York,NY,,Dgeneration,167,opener,2,False
250,2006-01-20,Mohegan Sun Arena,Uncasville,CT,,Esteban,202,headliner,1,False
251,2006-01-23,Madison Square Garden,New York,NY,,Billy Joel,48,headliner,1,True
252,2006-01-26,Madison Square Garden,New York,NY,,Billy Joel,48,headliner,1,True
253,2006-02-15,Beacon Theatre,New York,NY,Multi-Artist Show,Phil Lesh,429,festival_performer,1,True
253,2006-02-15,Beacon Theatre,New York,NY,Multi-Artist Show,Friends,216,festival_performer,2,True
254,2006-03-10,NYCB Theatre at Westbury,Westbury,NY,Multi-Artist Show,Leon Russell,341,festival_performer,1,False
254,2006-03-10,NYCB Theatre at Westbury,Westbury,NY,Multi-Artist Show,Dave Mason,153,festival_performer,2,False
255,2006-03-12,Nassau Coliseum,Uniondale,NY,,Queen + Paul Rodgers,441,headliner,1,True
256,2006-03-25,Beacon Theatre,New York,NY,,Allman Brothers Band,20,headliner,1,True
257,2006-04-06,Beacon Theatre,New York,NY,,Bob Weir & Ratdog,68,headliner,1,True
258,2006-04-19,Madison Square Garden,New York,NY,,Billy Joel,48,headliner,1,True
259,2006-04-20,Convention Hall,Asbury Park,NJ,Multi-Artist Show,Bruce Springsteen,88,festival_performer,1,False
